Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime,stars,cast,director
Dabangg 2,21-Dec,21.1,63.6,107.6, 2.5/5 stars (Two-and-a-half stars)[ Salman Khan, Sonakshi Sinha, Arbaaz Khan, Vinod Khanna, Prakash Raj, Deepak Dobriyal, Mahie Gill, Kareena Kapoor and Malaika Arora Khan (special appearances).],[ The return of Chulbul Pandey-Rajjo-Makkhi; the comedy; some songs; the direction & cinematography.]
Khiladi 786,7-Dec,10.3,34.1,51.5, 2.5/5 stars (Two-and-a-half stars)[ Akshay Kumar, Asin, Himesh Reshammiya, Sanjay Mishra, Mithun Chakraborty, Raj Babbar, Mukesh Rishi.],[ The comedy & funny dialogues; the action; some performances.]
Talaash,30-Nov,14,48,68, 3.5/5 stars (Three-and-a-half stars)[ Aamir Khan, Rani Mukerji, Kareena Kapoor, Nawazuddin Siddiqui, Raj Kumar Yadav, Shernaz Patel.],[ The nuanced performances; the enticing cinematography; the direction and music.]
Jab Tak Hai Jaan,13-Nov,15,81,98, 3.5/5 stars (Three and Half stars)[ Shah Rukh Khan, Katrina Kaif, Anushka Sharma, Anupam Kher, Neetu Kapoor, Rishi Kapoor.],[ The well-played out love stories; the music; the direction and cinematography.]
Son Of Sardaar,13-Nov,10,64.05,83, 2/5 stars (Two stars)[ Ajay Devgn, Sonakshi Sinha, Sanjay Dutt, Mukul Dev, Juhi Chawla, Salman Khan (guest appearance).],[ Some humour; the action scenes.]
Skyfall,2-Nov,6,23,30, 3.5/5 stars (Three-and-a-half stars)[ Daniel Craig, Judi Dench, Javier Bardem, Naomie Harris, Bérénice Marlohe, Ben Whishaw.],[ Javier Bardem as the tantalizing baddie; Bond at his best; some electrifying action.]
Luv Shuv Tey Chicken Khurana,2-Nov,1.25,5.5,8, 3/5 stars (Three stars)[ Kunal Kapoor, Huma Qureshi, Rajesh Sharma, Vinod Nagpal, Dolly Ahluwalia, Rajendra Sethi.],[ The excellent music; the very apt casting and performances; the dialogues.]
1920 – Evil Returns,2-Nov,4.05,13,19, 2/5 stars (Two stars)[ Aftab Shivdasani, Tia Bajpai, Vidya Malvade, Sharad Kelkar.],[ Some of the scares; some songs.]
Rush,26-Oct,0.6,2.5,3.5, 1.5/5 (One and Half Stars)[ Emraan Hashmi, Neha Dhupia, Sagarika Ghatge, Aditya Pancholi, Murli Sharma],[ Hashmi’s decent performance, Eye-candy Chak De India star Sagarika Ghatge on screen after a hiatus, JazzyB’s song Fukraa]
Ajab Gazabb Love,26-Oct,1.25,4.75,6.5, 2/5 stars (Two stars)[ Jackky Bhagnani, Nidhi Subbaiah, Kirron Kher, Darshan Jariwala, Arjun Rampal (in a double role) and Arshad Warsi (in a special cameo)],[ Kirron Kher’s histrionics, Darshan Jariwala’s marvelous Dad-act, the songs, the Jab Tak Hai Jaan trailer.]
Chakravyuh,24-Oct,3.6,11.5,16, 2/5 Stars (Two-Stars)[ Arjun Rampal, Abhay Deol, Manoj Bajpayee, Esha Gupta, Kabir Bedi.],[ Abhay Deol and Anjali Patil’s performances.]
Student Of The Year,19-Oct,9,28.5,47, 2.5/5 stars (Two-and-a-half stars)[ Sidharth Malhotra, Alia Bhatt, Varun Dhawan, Rishi Kapoor, Sana Saeed, Ram Kapoor, Kajol (guest appearance).],[ The performances; the direction; the humour.]
Aiyyaa,12-Oct,1.5,4.5,6.5,  3/5 stars (Three-Stars)[ Rani Mukerji, Prithviraj, Anita Date, Subodh Bhave, Satish Alekar, Nirmiti Sawant, Ameya Wagh and Jyoti Subhash.],[ The superb acting of the entire cast; the Aga bai song; the direction; the general madness in the film.]
Bhoot Returns,12-Oct,1.25,3.5,5,  0.5/5 star (Half-Star)[ Manisha Koirala, J. D. Chakravarthy, Madhu Shalini and Alayana Sharma.],[ The part where the policeman interrogates the family.]
Makkhi,12-Oct,0.45,2,2, 3/5 stars (Three-Stars)[ Sudeep, Nani , Samantha and the protagonist – A House fly!, Ajay Devgan (voiceover)],[ Imagination, inventiveness , inspite of its absurdities at times, Director Rajamouli is able to carve a hilarious tale out of a make believe world where logic is intertwined with fantasy, some great computer graphics and visualisation.]
English Vinglish,5-Oct,2.5,13,20.5,  3/5 stars (Three-Stars)[ Sridevi, Mehdi Nebbou, Priya Anand, Sulbha Deshpande, Sujata Kumar, Shivansh Kotia, Navika Kotia, Adil Hussain, Cory Hibbs, Amitabh Bachchan (special appearance).],[ The nuanced screenplay and cinematography; the effortless direction; the touching performances; the music.]
Kismet Love Paisa Dilli,5-Oct,1,3.1,3.1,  1/5 Star (One-Star)[ Vivek Oberoi, Mallika Sherawat, Neha Dhupia, Ashutosh Rana, Anshuman Jha.],[ The Captain and his gang.]
OMG Oh My God!,28-Sep,4,16.6,36,  2.5/5 stars (Two-and-a-half stars)[ Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Govind Namdeo, Poonam Jhawer, Mahesh Manjrekar, Sonakshi Sinha and Prabhu Deva.],[ The concept; the performances; the witty comebacks and dialogues.]
Kamaal Dhamaal Malamaal,28-Sep,1.25,4.15,5.6, 1/5 stars (One star)[ Shreyas Talpade, Nana Patekar, Madhhurima Banerjee, Paresh Rawal, Om Puri, Asrani, Shakti Kapoor.],[ Paresh Rawal’s edgy and manipulative Peter Gonsalves and the moderately good cinematography.]
Heroine,21-Sep,7.2,25,36.5,  1.5 stars (One-and-a-half stars)[ Kareena Kapoor, Arjun Rampal, Randeep Hooda, Divya Dutta, Shahana Goswami, Ranvir Shorey.],[ Some performances; the title track and Saiyaan song.]
Barfi!,14-Sep,9.2,34.6,58.6, 3.5/5 Stars (Three-and-a-half-stars)[ Ranbir Kapoor, Priyanka Chopra, Ileana D’Cruz, Saurabh Shukla, Bhola Raj Sapkota and Akash Khurana.],[ The spell-binding direction; the wonderful performances; the cinematography and the music.]
Raaz 3,7-Sep,10.5,35,55, 1 Star (One Star)[],[ Bipasha Basu, Emraan Hashmi, Esha Gupta.]
Joker,31-Aug,4.6,15,20, 2 stars (Two stars)[ Akshay Kumar, Sonakshi Sinha, Shreyas Talpade, Minissha Lamba, Vindu Dara Singh, Asrani, Chitrangda Singh (item song), Darshan Jariwala.],[ The direction; the music; the cinematography; some puns.]
Shirin Farhad Ki Toh Nikal Padi,24-Aug,1.75,6.3,9.1, 2/5 stars (Two stars)[ Farah Khan, Boman Irani, Kavin Dave, Shammi, Kurush Deboo, Daisy Irani.],[ The performances; some comic scenes.]
Ek Tha Tiger,15-Aug,32.92,116.05,135.05, 3/5 stars (Three stars)[],[  Salman Khan, Katrina Kaif, Ranvir Shorey and Girish Karnad.]
Gangs Of Wasseypur 2,8-Aug,2.8,15.25,18.5, 2/5 stars (Two stars)[],[  Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadda, Huma Qureshi, Piyush Mishra, Reema Sen, Raj Kumar Yadav Pankaj Tripathi, Vineet Singh, Zeishan Quadri.]
The Dark Knight Rises,20-Jul,5.5,17,26.55, 4/5 stars (Four stars)[ Tom Hardy, Christian Bale, Anne Hathaway, Joseph Gordon-Levitt, Gary Oldman, Marion Cotillard, Morgan Freeman and Michael Caine.],[ The direction; the splendid music; the characters.]
Cocktail,13-Jul,10.75,35.65,55, 2.5/5 stars (Two-and-a-half stars)[ Saif Ali Khan, Deepika Padukone, Diana Penty, Boman Irani, Dimple Kapadia.],[ The screenplay and dialogues; the songs; the performances.]
Bol Bachchan,6-Jul,11.4,38.5,60.5,  3.5/5 stars (Three and half star)[Abhishek Bachchan, Ajay Devgan, Asin, Prachi Desai, Krishna Abhishek, Asrani, Neeraj Vohra.],[ The situational comedy; the rib tickling dialogues, the music.]
The Amazing Spider-Man,29-Jun,8.5,27.5,42,[],[ 3.5/5 stars (Three-and-a-half stars)]
Maximum,29-Jun,0.6,1.4,1.55,[],[  1/5 stars (One star)]
Gangs Of Wasseypur,22-Jun,2.75,15.6,17,[],[ 3/5 stars (Three stars)]
Teri Meri Kahaani,22-Jun,5,16,23,[],[  1/5 stars (One star)]
Ferrari Ki Sawaari,15-Jun,3.04,14,19.05,[],[ 2.5/5 stars (Two-and-a-half stars)]
Shanghai,8-Jun,3,12.2,17.05,[],[ 4.5/5 stars (Four-and-a-half stars)]
Rowdy Rathore,1-Jun,15.01,48.05,79.52,[],[ 3/5 stars (Three stars)]
Department,18-May,2.75,7.75,11.05,[],[ 2/5 (Two stars)]
Ishaqzaade,11-May,4.06,15.95,25.75,[],[ 3.5/5 stars (Three-and-a-half stars)]
Dangerous Ishhq,11-May,1.01,3.08,6,[],[ 1/5 (One star)]
Jannat 2,4-May,8.05,23.05,35.01,[],[ 3/5 (Three stars)]
Tezz,27-Apr,3.05,11,15.08,[],[ 2/5 (Two stars)]
Vicky Donor,20-Apr,1.08,7.65,13,[],[  (3/5) Three stars]
Hate Story,20-Apr,2,6.08,11,[],[ (2/5) Two stars]
Bittoo Boss,13-Apr,0.55,2.05,2.15,[],[  (Two stars)  ]
Housefull 2,6-Apr,14,42,63,[],[ 3/5 (Three stars)]
Blood Money,30-Mar,1.75,5.05,7.05,[],[ 1/5 star (One star)]
Agent Vinod,23-Mar,9.06,27.05,38.15,[],[ 2/5 (Two stars)]
Kahaani,9-Mar,2.07,13.05,23,[],[ 3/5 (Three stars)]
Chaar Din Ki Chandni,8-Mar,0.07,3.75,5,[],[ 2.5/5 (Two-and-a-half stars)]
London Paris New York,2-Mar,1,3.75,6.12,[],[  1/5 (One star)]
Paan Singh Tomar,2-Mar,0.75,4.01,7,[],[  1/5 (One star)]
Tere Naal Love Ho Gaya,24-Feb,1.75,7.05,12.05, 2.5/5 (Two-and-a-half stars)[ Ritesh Deshmukh, Genelia D’souza, Om Puri, Tinnu Anand.],[ Several comedy scenes; the hit music; the family drama; the emotional drama.]
Jodi Breakers,24-Feb,1.05,6,8.05, 1/5 (One star)[ R. Madhavan, Bipasha Basu, Omi Vaidya, Helen, Milind Soman, Dipannita Sharma Atwal, Mrinalini Sharma.],[ A few comedy scenes; the music.]
Ekk Deewana Tha,17-Feb,0.07,2.75,3.75,[],[ 1 / 5 stars (One star)]
Ek Main Aur Ekk Tu,10-Feb,5.25,21.25,32.75,[],[ 3 / 5 stars (Three stars)]
Agneepath,26-Jan,23,67,91.08, Hrithik Roshan’s father is killed by drug lord Sanjay Dutt even while Hrithik is still a child. He grows up with the astute desire to seek revenge and joins the gang of another drug lord, Rishi Kapoor. Does he succeed? Or is Sanjay Dutt too mighty for him? Find out in the full review.[],[ 4 / 5 stars (Four stars)]
Players,6-Jan,4.69,14.98,21.75,[],[ 1 / 5 star]
