Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime
Ugly,26-Dec,0.4,1.65,2
PK,19-Dec,26.63,95.21,182.39
Action Jackson,5-Dec,9.25,29,45.75
Ungli,28-Nov,3.6,12.65,19
Zid,28-Nov,2.82,8.6,14
Zed Plus,28-Nov,0.12,0.4,0.4
Happy Ending,21-Nov,4,14.5,20.85
Kill Dil,14-Nov,6.85,20,29
The Shaukeens,7-Nov,5,18,28
Rang Rasiya,7-Nov,0.7,2.5,5
Super Nani,31-Oct,0.45,1.5,5
Roar,31-Oct,1.7,5,8
Happy New Year,24-Oct,44.97,108.86,157.5
Haider,2-Oct,6.14,26.78,50.07
Bang Bang,2-Oct,27.54,94.13,135.45
Daawat-e-Ishq,19-Sep,3.75,13.6,20.45
Khoobsurat,19-Sep,2.75,11.25,19
Finding Fanny,12-Sep,5.1,19.9,28.09
Creature 3D,12-Sep,3.24,11.34,18.18
Mary Kom,5-Sep,8.4,30.6,46
Raja Natwarlal,29-Aug,5.75,17,26
Mardaani,22-Aug,3.75,14.5,23
Singham Returns,15-Aug,32,77.55,112
Entertainment,8-Aug,11.16,36.69,56.5
Kick,25-Jul,26,83.5,164
Hate Story,18-Jul,5.25,16,25.6
Pizza 3D,18-Jul,0.75,3,4.35
Amit Sahni Ki List,18-Jul,0.68,3,4
Humpty Sharma Ki Dulhania,11-Jul,9,33.74,53.3
Bobby Jasoos,4-Jul,1.75,7,10.85
Lekar Hum Deewana Dil,4-Jul,0.5,1.5,2.5
Ek Villain,27-Jun,16.72,50.7,77.2
Humshakals,20-Jun,12.5,40.13,56.35
Fugly,13-Jun,2.85,9.5,11
Holiday,6-Jun,12,41,68
Filmistaan,6-Jun,0.51,2.81,5
Citylights,30-May,0.7,3.57,6
Heropanti,23-May,6.5,21,36
The Xpose,16-May,2.5,9.75,16.65
Hawaa Hawaai,9-May,0.85,4,7.7
Mastram,9-May,0.75,2,3
Yeh Hai Bakrapur,9-May,0.2,1,2
Manjunath,9-May,0.25,1,1.75
Koyelaanchal,9-May,0.65,1.5,2
Purani Jeans,2-May,0.35,1,1
Kya Dilli Kya Lahore,2-May,0.08,0.5,0.5
Revolver Rani,25-Apr,1.9,6,10
Kaanchi,25-Apr,0.85,3,4
Samrat & Co.,25-Apr,0.25,1,2
2 States,18-Apr,11.75,38,60
Bhoothnath Returns,11-Apr,3.5,16.5,28
Main Tera Hero,4-Apr,6.25,21,36
Youngistaan,28-Mar,1.1,4.05,6.75
Dishkiyaoon,28-Mar,1.25,3.6,6
O Teri,28-Mar,0.75,2.4,3.75
Ragini MMS 2,21-Mar,8.45,24,38.5
Bewakoofiyaan,14-Mar,2.2,7,13
Queen,7-Mar,1.75,9.55,18.3
Total Siyapaa,7-Mar,1.05,3.85,5.7
Gulaab Gang,7-Mar,2.3,8.85,13
Shaadi Ke Side Effects,28-Feb,5.4,21.5,31
Highway,21-Feb,3.75,13.5,21
Darr @ The Mall,21-Feb,1,3.5,4.5
Gunday,14-Feb,15.5,43,57.8
Hasee Toh Phasee,7-Feb,4.25,16.75,27.5
One By Two,31-Jan,0.5,1.75,2.5
Jai Ho,24-Jan,17.5,58.5,87.75
Miss Lovely,17-Jan,0.2,0.7,0.7
Karle Pyaar Karle,17-Jan,0.3,1,1
Dedh Ishqiya,10-Jan,3.75,12,19
Yaariyan,10-Jan,6,19,31.5
Sholay 3D,3-Jan,1.5,6.3,11
Mr Joe B. Carvalho,3-Jan,0.65,2,4
