Movie Name,Release Date,1st Day,1st Weekend,1st Week,Lifetime,stars,cast,director
October,13-April,05.04,20.25,30.24, 3/5 Stars (Three stars)[  Varun Dhawan, Banita Sandhu, Gitanjali Rao, Sahil Vedoliyaa.],[ Shoojit Sircar]
Blackmail,06-April,02.81,11.22,16.92, 4/5 Stars (Four stars)[ Irrfan Khan, Kirti Kulhari, Arunoday Singh, Omi Vaidya, Gajraj Rao, Anuja Sathe, Prabhudhuman Singh Mall],[ Abhinay Deo]
Baaghi 2,30-Mar,25.10,73.10,112.85, 3/5 Stars (Three stars)[  Tiger Shroff, Disha Patani, Randeep Hooda, Manoj Bajpayee, Prateik Babbar, Deepak Dobriyal.],[ Ahmed Khan.]
Hichki,23-Mar,03.30,15.35,26.10, 3/5 Stars (Three stars)[  Rani Mukerji, Neeraj Kabi, Shiv Subrahmanyam, Sachin Pilgaonkar, Supriya Pilgaonkar, Asif Basra.],[ Siddharth P Malhotra.]
Raid,16-Mar,10.04,41.01,63.05, 3.5/5 Stars (Three and half stars)[  Ajay Devgn, Ileana D’Cruz, Saurabh Shukla],[ Raj Kumar Gupta]
Hate Story 4,09-Mar,03.50,12.57,18.61, 2/5 Stars (Two Stars)[  Karan Wahi, Urvashi Rautela, Ihana Dhillon],[ Vishal Pandya.]
Dil Juunglee,09-Mar,00.50,01.05,01.05, 1/5 Star (One Star)[  Taapsee Pannu, Saqib Saleem, Nidhi Singh.],[ Aleya Sen]
3 Storeys ,09-Mar,00.50,02.25,02.25, 2.5/5 Stars (Two and half stars)[  Renuka Shahane, Masumeh Makhija, Richa Chadha, Sharman Joshi, Ankit Rathi, Aisha Ahmed, Pulkit Samrat, Tarun Anand.],[ Arjun Mukherjee]
Pari,02-Mar,04.36,15.34,22.50, 3.5/5 Stars (Three and a half stars)[  Anushka Sharma, Parambrata Chatterjee, Rajat Kapoor, Ritabhari Chakraborty, Mansi Multani],[ Prosit Roy]
Sonu Ke Titu Ki Sweety,23-Feb,06.42,26.57,45.94, 3.5/5 Stars (Three and a half stars)[  Kartik Aaryan, Nushrat Bharucha, Sunny Singh Nijjar, Alok Nath, Virendra Saxena, Deepika Amin, Ayesha Raza, Pawan Chopra, Rajesh Jais],[ Luv Ranjan]
Welcome To New York,23-Feb,01.00,03.00,03.00, 1/5 Stars (One star)[  Sonakshi Sinha, Diljit Dosanjh, Riteish Deshmukh, Karan Johar, Lara Dutta, Boman Irani, Rana Daggubati, Salman Khan, Katrina Kaif, Sushant Singh Rajput],[ Chakri Toleti]
Aiyaary,16-Feb,03.50,11.70,16.14, 3/5 Stars (Three stars)[ Manoj Bajpayee, Rakul Preet Singh, Anupam Kher, Sidharth Malhotra, Naseeruddin Shah],[ Neeraj Pandey]
Black Panther,16-Feb,05.60,19.35,27.67, 3/5 Stars (Three stars)[  Chadwick Boseman, Michael B. Jordan, Andy Serkis, Lupita Nyong’o, Danai Gurira, Martin Freeman],[ Ryan Coogler]
PadMan,09-Feb,10.26,40.05,62.87,  3.5/5 Stars (Three and a half stars)[  Akshay Kumar, Sonam Kapoor, Radhika Apte],[ R. Balki]
Padmaavat,25-Jan,24.00,114.00,166.50, 4/5 Stars (Four stars)[ Deepika Padukone, Ranveer Singh, Shahid Kapoor, Aditi Rao Hydari, Jim Sarbh, Raza Murad, Anupriya Goenka],[ Sanjay Leela Bhansali]
Kaalakaandi ,12-Jan,01.25,03.85,05.30, 2/5 Stars (Two stars)[  Saif Ali Khan, Akshay Oberoi, Isha Talwar, Sobhita Dhulipala, Kunaal Roy Kapur, Deepak Dobriyal, Vijay Raaz, Shivam Patil, Amanda Rosario, Shenaz Treasurywala],[ Akshat Verma]
1921,12-Jan,01.56,06.45,09.38, 2/5 Stars (Two stars)[  Karan Kundra, Zareen Khan],[ Vikram Bhatt]
Mukkabaaz,12-Jan,00.82,04.04,06.18, 3.5/5 Stars (Three and a half stars)[  Anurag Kashyap, Vineet Kumar Singh, Mukti Singh Srinet, K.D.Satyam, Ranjan Chandel, Prasoon Mishra],[ Anurag Kashyap]
The Post,12-Jan,00.23,01.17,01.59, 4/5 Stars (Four stars)[  Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk, Tracy Letts, Matthew Rhys.],[  Steven Spielberg.]
